City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,27.05,48,0,2.06,US,1698344041
1,dudinka,69.4058,86.1778,-12.96,99,93,1.34,RU,1698344041
2,porto novo,6.4965,2.6036,27.9,83,73,3.03,BJ,1698344042
3,cambria,35.5641,-121.0808,21.39,89,5,1.34,US,1698344042
4,longyearbyen,78.2186,15.6401,-4.09,80,75,4.63,SJ,1698344043
5,el fasher,13.6279,25.3494,32.01,19,76,3.75,SD,1698344043
6,yellowknife,62.456,-114.3525,-0.33,82,75,6.69,CA,1698344044
7,mitu,1.1983,-70.1733,36.12,39,100,1.2,CO,1698344045
8,adamstown,-25.066,-130.1015,22.24,80,90,5.03,PN,1698344048
9,thompson,55.7435,-97.8558,-1.14,43,4,3.59,CA,1698344050
10,yanam,16.7333,82.2167,25.17,81,46,1.32,IN,1698344050
11,port-aux-francais,-49.35,70.2167,1.97,79,100,10.34,TF,1698344052
12,saint-pierre,-21.3393,55.4781,25.82,83,40,3.6,RE,1698344054
13,bure,10.7,37.0667,14.31,95,100,2.19,ET,1698344057
14,hadibu,12.65,54.0333,27.01,81,40,4.57,YE,1698344057
15,kapuskasing,49.4169,-82.4331,1.0,93,100,3.09,CA,1698344061
16,bikenibeu village,1.3673,173.1241,25.98,94,100,2.06,KI,1698344062
17,puerto ayora,-0.7393,-90.3518,29.98,88,75,3.58,EC,1698344063
18,kodiak,57.79,-152.4072,6.73,70,100,2.57,US,1698344064
19,college,64.8569,-147.8028,-5.86,87,75,0.0,US,1698344065
20,caleta de carquin,-11.0925,-77.6267,21.62,71,55,4.76,PE,1698344065
21,krasnogvardeyskoye,45.8456,41.5186,18.72,66,100,6.56,RU,1698344066
22,olonkinbyen,70.9221,-8.7187,-0.31,73,56,1.26,SJ,1698344066
23,klyuchi,52.2667,79.1667,-0.49,58,83,7.9,RU,1698344067
24,lodeynoye pole,60.726,33.5531,-2.95,78,34,2.92,RU,1698344070
25,port mathurin,-19.6833,63.4167,24.55,79,29,7.02,MU,1698344071
26,taounate,34.5,-4.8333,22.42,59,67,2.96,MA,1698344073
27,salym,60.0625,71.4789,-5.12,84,100,4.3,RU,1698344073
28,fortuna foothills,32.6578,-114.4119,26.79,61,0,2.06,US,1698344074
29,georgetown,5.4112,100.3354,28.3,94,40,2.57,MY,1698344074
30,chaman,30.9236,66.4512,19.72,20,9,2.58,PK,1698344075
31,ariquemes,-9.9133,-63.0408,35.67,36,77,2.04,BR,1698344075
32,natal,-5.795,-35.2094,29.36,61,40,5.66,BR,1698343984
33,labrador city,52.9463,-66.9114,0.95,60,75,5.66,CA,1698344076
34,eagle pass,28.7091,-100.4995,29.32,70,40,4.12,US,1698344077
35,puerto natales,-51.7236,-72.4875,8.25,57,40,10.8,CL,1698344078
36,konya,38.1667,32.5,17.71,36,99,2.16,TR,1698344079
37,port macquarie,-31.4333,152.9167,12.72,82,100,7.37,AU,1698344010
38,tiksi,71.6872,128.8694,-12.57,94,100,2.85,RU,1698344084
39,kaifeng,34.7911,114.3483,15.43,46,93,3.28,CN,1698344084
40,iskateley,67.6803,53.1512,-11.66,100,79,1.79,RU,1698344085
41,hermanus,-34.4187,19.2345,15.88,82,0,6.01,ZA,1698344086
42,edinburgh of the seven seas,-37.0676,-12.3116,12.22,60,95,2.77,SH,1698344087
43,mount pearl,47.5166,-52.7813,11.92,92,100,5.66,CA,1698344089
44,san sebastian de la gomera,28.0916,-17.1133,25.21,69,40,1.54,ES,1698344089
45,ofaqim,31.3141,34.6203,29.73,28,19,4.01,IL,1698344089
46,manta,-0.95,-80.7333,27.88,74,75,6.69,EC,1698344090
47,dunedin,-45.8742,170.5036,3.22,85,100,7.6,NZ,1698344090
48,port elizabeth,-33.918,25.5701,20.17,71,0,5.66,ZA,1698344091
49,grytviken,-54.2811,-36.5092,2.24,98,100,6.33,GS,1698344092
50,luganville,-15.5333,167.1667,24.93,88,100,2.22,VU,1698344092
51,papatowai,-46.5619,169.4708,3.27,59,99,8.84,NZ,1698344093
52,thurso,58.5927,-3.5259,11.14,91,100,11.84,GB,1698344094
53,pacific grove,36.6177,-121.9166,17.72,73,40,4.02,US,1698344098
54,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.56,PT,1698344098
55,chinde,26.8418,88.0763,13.27,83,0,2.2,NP,1698344099
56,urangan,-25.3,152.9,20.29,90,65,6.19,AU,1698344101
57,chernyshevskiy,63.0128,112.4714,-7.67,99,100,0.66,RU,1698343941
58,tazacorte,28.629,-17.9293,23.54,87,40,5.66,ES,1698344103
59,kralendijk,12.15,-68.2667,29.99,74,40,5.66,BQ,1698344104
60,qaqortoq,60.7167,-46.0333,1.43,52,48,2.28,GL,1698344105
61,ribeira grande,38.5167,-28.7,19.22,63,20,4.63,PT,1698344106
62,caibarien,22.5206,-79.4669,27.62,65,63,9.79,CU,1698344107
63,colonia,50.9333,6.95,11.99,88,100,0.84,DE,1698343893
64,west island,-12.1568,96.8225,25.99,83,75,8.75,CC,1698344108
65,margaret river,-33.95,115.0667,12.47,71,55,6.46,AU,1698344109
66,bamboo flat,11.7,92.7167,26.05,94,40,0.0,IN,1698344109
67,tralee,52.2704,-9.7026,9.75,92,20,2.54,IE,1698344110
68,barsukovskaya,44.7632,41.8191,16.08,73,100,1.09,RU,1698344111
69,korla,41.7597,86.1469,12.33,34,46,1.98,CN,1698344111
70,thanh hoa,19.8,105.7667,23.63,93,39,0.98,VN,1698344111
71,invercargill,-46.4,168.35,2.23,79,100,6.71,NZ,1698344112
72,constantia,44.1833,28.65,17.61,75,100,4.58,RO,1698344112
73,coquimbo,-29.9533,-71.3436,15.85,72,75,4.63,CL,1698344113
